website,loc,lastmod,cured_name
GuyInACube,https://www.youtube.com/watch?v=5ZjO1ImFmh4,2022 09 07,Automating your formatted tables in Power BI!
GuyInACube,https://www.youtube.com/watch?v=2nzANkTY4IY,2022 09 03,"REPLAY Visualization Q&amp;A - LIVE w/ Alberto Cairo (Sept 3, 2022)"
GuyInACube,https://www.youtube.com/watch?v=KOeT9Dsk-xo,2022 09 01,Conditional Formatting with Field Parameters in Power BI???
GuyInACube,https://www.youtube.com/watch?v=Q-CFumllLNg,2022 08 31,The Tale of Two Caches
GuyInACube,https://www.youtube.com/watch?v=TGIP4w61Tyc,2022 08 30,Merging your data in a modern lakehouse data warehouse
GuyInACube,https://www.youtube.com/watch?v=M0TMo3QYxkA,2022 08 27,"REPLAY DAX Studio 3 is out! LIVE w/ Marco Russo (Aug 27, 2022)"
GuyInACube,https://www.youtube.com/watch?v=TfXhQG61sPw,2022 08 25,Slicers vs. Slicer Pane vs. Filter Pane! Which is faster?
GuyInACube,https://www.youtube.com/watch?v=5G_xSJy5muo,2022 08 24,Simulate Hierarchies with Field Parameters in Power BI
GuyInACube,https://www.youtube.com/watch?v=3ef985a0Veg,2022 08 23,What is this delta lake thing?
GuyInACube,https://www.youtube.com/watch?v=y7E4eElq9iI,2022 08 20,"REPLAY 100th Power BI Q&amp;A Live Stream!!! (August 20, 2022)"
GuyInACube,https://www.youtube.com/watch?v=dTEmhPbtipc,2022 08 18,Get creative with buttons in Power BI!
GuyInACube,https://www.youtube.com/watch?v=HJgclrgFnls,2022 08 17,Refresh and NO DATA in my Power BI visuals???
GuyInACube,https://www.youtube.com/watch?v=SPOQzcbTgvQ,2022 08 16,Get started with SPARK in Azure Synapse Analytics
GuyInACube,https://www.youtube.com/watch?v=ksmNfa_K8GQ,2022 08 13,"REPLAY Power BI tips from the Pros - LIVE (August 13, 2022)"
GuyInACube,https://www.youtube.com/watch?v=0WfITrMl0hc,2022 08 11,Get feedback from your Power BI report users!
GuyInACube,https://www.youtube.com/watch?v=338Fm-eSbQU,2022 08 10,You thought DAX? Alex shows you Dynamic M-M-Magic!
GuyInACube,https://www.youtube.com/watch?v=mGZ9cZ5fPww,2022 08 09,Top 5 things to get started with Azure Synapse Analytics
GuyInACube,https://www.youtube.com/watch?v=FQCD5rUD6cY,2022 08 06,"REPLAY Power BI Optimization Q&amp;A - LIVE w/ Marco Russo (Aug 5, 2022)"
GuyInACube,https://www.youtube.com/watch?v=ffIgsMS3-8c,2022 08 04,Here&#39;s a BANANAS report design idea!
GuyInACube,https://www.youtube.com/watch?v=QewkwWtJrKg,2022 08 03,What if we could RATE a Power BI report page?
GuyInACube,https://www.youtube.com/watch?v=YgYTQpVnhVM,2022 08 02,Can you be a Data Scientist without actually being a Data Scientist???
GuyInACube,https://www.youtube.com/watch?v=4J4go5juEj0,2022 07 30,"REPLAY Power BI tips from the Pros - LIVE (July 30, 2022)"
GuyInACube,https://www.youtube.com/watch?v=eviMr_f_LQM,2022 07 27,Discovering data within Power BI and quickly EXPORT!
